Time	Iteration	Loss	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
106.0012891292572	49	0.0143233	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	267208
112.96719312667847	50	-0.0157914	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	273208
120.00714802742004	51	-0.0097368	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	279208
126.96566796302795	52	-0.000926875	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	285208
133.92392206192017	53	-0.00283126	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	291208
140.93190002441406	54	-0.0137135	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	297208
147.93794012069702	55	0.00500184	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	303208
154.92012906074524	56	0.0129645	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	309208
161.89769911766052	57	0.00277775	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	315208
167.85614705085754	58	0.00170625	569.333333333	347.053950337	1000.0	75.0	569.333333333	347.053950337	5124	320332
173.86193990707397	59	-0.00927144	127.75	122.65373007	690.0	6.0	127.75	122.65373007	5110	325442
179.97952795028687	60	-0.0126615	123.761904762	141.525331659	592.0	14.0	123.761904762	141.525331659	5198	330640
186.50369000434875	61	0.0078273	468.0	351.19415333	1000.0	54.0	468.0	351.19415333	5616	336256
193.019690990448	62	-0.00646998	932.666666667	105.583563536	1000.0	719.0	932.666666667	105.583563536	5596	341852
200.005765914917	63	-0.0207153	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	347852
206.99136900901794	64	-0.000706594	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	353852
213.98348212242126	65	-0.0142012	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	359852
221.6877179145813	66	0.00802569	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	365852
228.57848000526428	67	0.00389909	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	371852
